Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2008-05-14,111.9,111.9,111.9,111.9,1000,110.83,FRES.MX
2008-05-15,111.9,111.9,111.9,111.9,0,110.83,FRES.MX
2008-05-16,111.9,111.9,111.9,111.9,0,110.83,FRES.MX
2008-05-19,110.25,110.25,110.25,110.25,0,109.2,FRES.MX
2008-05-20,113.0,113.0,113.0,113.0,0,111.92,FRES.MX
2008-05-21,116.35,116.35,116.35,116.35,7000,115.24,FRES.MX
2008-05-22,117.0,117.0,117.0,117.0,4300,115.89,FRES.MX
2008-05-23,110.25,110.25,110.25,110.25,0,109.2,FRES.MX
2008-05-27,114.8,114.8,114.8,114.8,3000,113.71,FRES.MX
2008-05-28,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-05-29,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-05-30,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-02,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-03,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-04,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-05,117.5,117.5,117.5,117.5,6800,116.38,FRES.MX
2008-06-06,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-09,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-10,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-11,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-12,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-13,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-16,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-17,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-18,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-19,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-20,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-23,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-24,110.0,110.0,110.0,110.0,0,108.95,FRES.MX
2008-06-30,100.0,100.0,100.0,100.0,0,99.05,FRES.MX
2008-07-01,100.0,100.0,100.0,100.0,0,99.05,FRES.MX
2008-07-02,102.5,102.5,102.5,102.5,10000,101.52,FRES.MX
2008-07-08,97.0,97.0,96.5,96.5,45000,95.58,FRES.MX
